,Time,NGA,1._Moralistic_punishment,2._Moralizing_norms,3._Promotion_of_prosociality,4._Omniscient_supernatural_beings,5._Rulers_not_gods,6._Equating_elites_and_commoners,7._Equating_rulers_and_commoners,8._Formal_legal_code,9._General_applicability_of_law,10._Constraint_on_executive,11._Full-time_bureaucrats,12._Impeachment,sum
Cambodian Basin (200),200,Cambodian Basin,0.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0
Cambodian Basin (300),300,Cambodian Basin,0.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0
Cambodian Basin (400),400,Cambodian Basin,0.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0
Cambodian Basin (500),500,Cambodian Basin,0.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0
Cambodian Basin (600),600,Cambodian Basin,0.0,1.0,1.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,6.0
Cambodian Basin (700),700,Cambodian Basin,0.0,1.0,1.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,6.0
Cambodian Basin (800),800,Cambodian Basin,0.0,1.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0
Cambodian Basin (900),900,Cambodian Basin,0.0,1.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0
Cambodian Basin (1000),1000,Cambodian Basin,0.0,1.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0
Cambodian Basin (1100),1100,Cambodian Basin,0.0,1.0,1.0,,0.0,0.5,0.5,1.0,1.0,0.0,1.0,0.0,6.0
Cambodian Basin (1200),1200,Cambodian Basin,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0
Cambodian Basin (1300),1300,Cambodian Basin,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0
Cambodian Basin (1400),1400,Cambodian Basin,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0
Cambodian Basin (1500),1500,Cambodian Basin,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0
Cambodian Basin (1600),1600,Cambodian Basin,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0
Cambodian Basin (1700),1700,Cambodian Basin,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0
Cambodian Basin (1800),1800,Cambodian Basin,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0
Crete (-1900),-1900,Crete,,,,,,0.0,0.0,0.0,,,1.0,,1.0
Crete (-1800),-1800,Crete,,,,,,0.0,0.0,0.0,,,1.0,,1.0
Crete (-1700),-1700,Crete,,,,,0.0,0.0,0.0,0.0,,,1.0,,1.0
Crete (-1600),-1600,Crete,,,,,0.0,0.0,0.0,0.0,,,1.0,,1.0
Crete (-1500),-1500,Crete,,,,,0.0,0.0,0.0,0.0,,,1.0,,1.0
Crete (-1400),-1400,Crete,,,,,1.0,0.0,0.0,0.0,,,1.0,,2.0
Crete (-1300),-1300,Crete,,,,,1.0,0.0,0.0,0.0,,,1.0,,2.0
Crete (-1200),-1200,Crete,,,,,1.0,0.0,0.0,0.0,,,1.0,,2.0
Crete (-1100),-1100,Crete,,,,,1.0,0.0,0.0,0.0,,,1.0,,2.0
Crete (-1000),-1000,Crete,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,7.0
Crete (-900),-900,Crete,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,7.0
Crete (-800),-800,Crete,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,7.0
Crete (-700),-700,Crete,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0
Crete (-600),-600,Crete,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0
Crete (-500),-500,Crete,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0
Crete (-400),-400,Crete,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0
Crete (-300),-300,Crete,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0
Crete (-200),-200,Crete,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0
Crete (-100),-100,Crete,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,7.0
Crete (0),0,Crete,0.0,1.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,7.0
Crete (100),100,Crete,0.0,1.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,7.0
Crete (200),200,Crete,0.0,1.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,7.0
Crete (300),300,Crete,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,8.0
Crete (400),400,Crete,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,7.5
Crete (500),500,Crete,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,7.5
Crete (600),600,Crete,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,7.5
Crete (700),700,Crete,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,7.5
Crete (800),800,Crete,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,7.5
Crete (900),900,Crete,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,7.5
Crete (1000),1000,Crete,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,7.5
Crete (1100),1100,Crete,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,7.5
Crete (1200),1200,Crete,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,7.5
Crete (1300),1300,Crete,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,7.5
Crete (1400),1400,Crete,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,7.5
Crete (1500),1500,Crete,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,9.5
Crete (1600),1600,Crete,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,9.5
Crete (1700),1700,Crete,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,9.5
Crete (1800),1800,Crete,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,9.5
Galilee (-1600),-1600,Galilee,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.0,0.0,6.5
Galilee (-1500),-1500,Galilee,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.0,0.0,6.5
Galilee (-1400),-1400,Galilee,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.0,0.0,6.5
Galilee (-1300),-1300,Galilee,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.0,0.0,6.5
Galilee (-1200),-1200,Galilee,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.0,0.0,6.5
Galilee (-1100),-1100,Galilee,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.0,0.0,6.5
Galilee (-1000),-1000,Galilee,0.5,1.0,1.0,0.5,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,7.5
Galilee (-900),-900,Galilee,0.5,1.0,1.0,0.5,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,7.5
Galilee (-800),-800,Galilee,0.5,1.0,1.0,0.5,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,7.5
Galilee (-700),-700,Galilee,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,7.0
Galilee (-600),-600,Galilee,0.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.5,1.0,0.0,8.0
Galilee (-500),-500,Galilee,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0
Galilee (-400),-400,Galilee,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0
Galilee (-300),-300,Galilee,0.0,1.0,1.0,0.0,0.0,0.6,1.0,1.0,1.0,0.0,1.0,0.0,6.6
Galilee (-200),-200,Galilee,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,7.0
Galilee (-100),-100,Galilee,0.5,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,7.5
Galilee (0),0,Galilee,0.5,1.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,7.5
Galilee (100),100,Galilee,0.5,1.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,7.5
Galilee (200),200,Galilee,0.5,1.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,7.5
Galilee (300),300,Galilee,0.5,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,8.5
Galilee (400),400,Galilee,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,7.5
Galilee (500),500,Galilee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,10.5
Galilee (600),600,Galilee,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0
Galilee (700),700,Galilee,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,10.0
Galilee (800),800,Galilee,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.5
Galilee (900),900,Galilee,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,9.5
Galilee (1000),1000,Galilee,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.5
Galilee (1100),1100,Galilee,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.5
Galilee (1200),1200,Galilee,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.5
Galilee (1300),1300,Galilee,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.5
Galilee (1400),1400,Galilee,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.5
Galilee (1500),1500,Galilee,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.5
Galilee (1600),1600,Galilee,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.5
Galilee (1700),1700,Galilee,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.5
Kachi Plain (-2500),-2500,Kachi Plain,,1.0,,,,1.0,1.0,0.0,,0.0,1.0,0.0,4.0
Kachi Plain (-2400),-2400,Kachi Plain,,1.0,,,,1.0,1.0,0.0,,0.0,1.0,0.0,4.0
Kachi Plain (-2300),-2300,Kachi Plain,,1.0,,,,1.0,1.0,0.0,,0.0,1.0,0.0,4.0
Kachi Plain (-2200),-2200,Kachi Plain,,1.0,,,,1.0,1.0,0.0,,0.0,1.0,0.0,4.0
Kachi Plain (-2100),-2100,Kachi Plain,,1.0,,,,1.0,1.0,0.0,,0.0,1.0,0.0,4.0
Kachi Plain (-2000),-2000,Kachi Plain,,1.0,,,,1.0,1.0,0.0,,0.0,1.0,0.0,4.0
Kachi Plain (-1900),-1900,Kachi Plain,,1.0,,,,1.0,1.0,0.0,,0.0,1.0,0.0,4.0
Kachi Plain (-1800),-1800,Kachi Plain,,1.0,,,,1.0,1.0,0.0,,0.0,1.0,0.0,4.0
Kachi Plain (-1700),-1700,Kachi Plain,,1.0,,,,1.0,1.0,0.0,,0.0,1.0,0.0,4.0
Kachi Plain (-1600),-1600,Kachi Plain,,1.0,,,,1.0,1.0,0.0,,0.0,1.0,0.0,4.0
Kachi Plain (-1500),-1500,Kachi Plain,,1.0,,,,1.0,1.0,0.0,,0.0,1.0,0.0,4.0
Kachi Plain (-1400),-1400,Kachi Plain,,1.0,,,,1.0,1.0,0.0,,0.0,1.0,0.0,4.0
Kachi Plain (-1300),-1300,Kachi Plain,,1.0,,,,1.0,1.0,0.0,,0.0,1.0,0.0,4.0
Kachi Plain (-1200),-1200,Kachi Plain,,1.0,,,,1.0,1.0,0.0,,0.0,1.0,0.0,4.0
Kachi Plain (-1100),-1100,Kachi Plain,,1.0,,,,1.0,1.0,0.0,,0.0,1.0,0.0,4.0
Kachi Plain (-1000),-1000,Kachi Plain,,1.0,,,,1.0,1.0,0.0,,0.0,1.0,0.0,4.0
Kachi Plain (-900),-900,Kachi Plain,,1.0,,,,1.0,1.0,0.0,,0.0,1.0,0.0,4.0
Kachi Plain (-800),-800,Kachi Plain,,1.0,,,,1.0,1.0,0.0,,0.0,1.0,0.0,4.0
Kachi Plain (-700),-700,Kachi Plain,,1.0,,,,1.0,1.0,0.0,,0.0,1.0,0.0,4.0
Kachi Plain (-600),-600,Kachi Plain,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0
Kachi Plain (-500),-500,Kachi Plain,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0
Kachi Plain (-400),-400,Kachi Plain,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0
Kachi Plain (-300),-300,Kachi Plain,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0
Kachi Plain (-200),-200,Kachi Plain,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,7.0
Kachi Plain (-100),-100,Kachi Plain,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0
Kachi Plain (0),0,Kachi Plain,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.5
Kachi Plain (100),100,Kachi Plain,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.5
Kachi Plain (200),200,Kachi Plain,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.0,10.0
Kachi Plain (300),300,Kachi Plain,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.0,10.0
Kachi Plain (400),400,Kachi Plain,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.5,1.0,1.0,0.5,0.0,7.0
Kachi Plain (500),500,Kachi Plain,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,9.5
Kachi Plain (600),600,Kachi Plain,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,9.5
Kachi Plain (700),700,Kachi Plain,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,9.5
Kachi Plain (800),800,Kachi Plain,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.0
Kachi Plain (900),900,Kachi Plain,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.0
Kachi Plain (1000),1000,Kachi Plain,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.0
Kachi Plain (1100),1100,Kachi Plain,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.0
Kachi Plain (1200),1200,Kachi Plain,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.0
Kachi Plain (1300),1300,Kachi Plain,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.0
Kachi Plain (1400),1400,Kachi Plain,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.0
Kachi Plain (1500),1500,Kachi Plain,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.0
Kachi Plain (1600),1600,Kachi Plain,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.0
Kachi Plain (1700),1700,Kachi Plain,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,9.5
Kansai (-5300),-5300,Kansai,,,,,,0.0,0.0,0.0,,,0.0,,0.0
Kansai (-5200),-5200,Kansai,,,,,,0.0,0.0,0.0,,,0.0,,0.0
Kansai (-5100),-5100,Kansai,,,,,,0.0,0.0,0.0,,,0.0,,0.0
Kansai (-5000),-5000,Kansai,,,,,,0.0,0.0,0.0,,,0.0,,0.0
Kansai (-4900),-4900,Kansai,,,,,,0.0,0.0,0.0,,,0.0,,0.0
Kansai (-4800),-4800,Kansai,,,,,,0.0,0.0,0.0,,,0.0,,0.0
Kansai (-4700),-4700,Kansai,,,,,,0.0,0.0,0.0,,,0.0,,0.0
Kansai (-4600),-4600,Kansai,,,,,,0.0,0.0,0.0,,,0.0,,0.0
Kansai (-4500),-4500,Kansai,,,,,,0.0,0.0,0.0,,,0.0,,0.0
